team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
England National Team,England,2024,England,8,4,4,0,6,4,2,2,0,2,0,0,0,2.5,3,2,1,0,0,8,22,4,18,26,15,11,14,8,1,3,13,5,33,26,45,180,360,120,4,3,1,4,1,3,0,0,0,5,3,2,36,22,14,14,5,9,63,62,63,88,47,41,54,31,23,34,16,18,74,35,39,13,7,6,3,1,2,10,6,4,5,3,2,2,1,1,1,0,1,2.13,2.5,1.75,3.25,3.75,2.75,2.75,3.5,2,0.5,0.25,0.75,2,2,2,1.63,1.75,1.5,0.38,0.25,0.5,8,8,4,3,1,1,4,4,2,2,1,1,4,4,2,1,0,0,0,0,4,5,7,7,0,0,2,2,3,3,0,0,2,3,4,4,100,100,50,38,13,13,100,100,50,50,25,25,100,100,50,25,0,0,0,0,50,62,87,87,0,0,50,50,75,75,0,0,50,75,100,100,8,6,2,4,3,1,4,3,1,100,75,25,100,75,25,100,75,25,75,100,50,39,50,75,25,50,25,75,0,0,0,63,75,50,5,3,2,63,75,50,1,0,1,13,0,25,2,1,1,25,25,25,63,75,50,25,25,25,13,0,25,4.50,5.50,3.50,1.75,1.25,2.25,63,38,13,13,0,0,0,0,1.56,1.65,1.46,0.52,0.47,0.58,113,2,1,2,5,4,3,1,3,1,0,1,1,0,1,1,0,0,0,25,0,50,0,0,0,0
Republic of Ireland National Team,Republic of Ireland,2024,Republic of Ireland,8,4,4,0,2,1,1,0,0,0,6,3,3,0.75,0.75,0.75,4,0,0,43,9,10,-1,19,9,10,4,5,5,5,-1,0,80,90,72,72,72,72,2,1,1,2,1,1,4,2,2,3,2,1,56,35,21,16,8,8,55,58,52,88,50,38,47,25,22,41,25,16,87,48,39,4,1,3,6,3,3,-2,-2,0,1,0,1,4,3,1,3,1,2,0.88,0.75,1,2.38,2.25,2.5,1.13,1,1.25,1.25,1.25,1.25,1.25,1,1.5,0.5,0.25,0.75,0.75,0.75,0.75,8,6,4,1,0,0,4,3,2,0,0,0,4,3,2,1,0,0,0,2,4,7,8,8,0,1,2,4,4,4,0,1,2,3,4,4,100,75,50,13,0,0,100,75,50,0,0,0,100,75,50,25,0,0,0,25,50,87,100,100,0,25,50,100,100,100,0,25,50,75,100,100,6,4,0,2,2,0,4,2,0,75,50,0,50,50,0,100,50,0,25,25,25,0,25,25,25,25,25,25,50,50,50,38,50,25,3,2,1,38,50,25,5,3,2,63,75,50,2,1,1,25,25,25,13,0,25,50,75,25,38,25,50,7.00,8.75,5.25,2,2,2.00,100,100,75,75,63,38,25,25,1.59,1.79,1.40,1.27,1.09,1.45,25,2,0,2,0,0,3,0,1,1,0,5,0,0,4,1,0,0,0,0,0,0,75,75,75,25
Greece National Team,Greece,2024,Greece,8,4,4,0,4,2,2,1,1,0,3,1,2,1.63,1.75,1.5,3,0,0,26,14,8,6,22,13,9,9,5,4,4,5,1,51,40,72,90,90,90,3,1,2,2,2,0,3,1,2,4,2,2,52,30,22,24,11,13,50,50,50,84,45,39,45,26,19,39,19,20,86,37,49,7,3,4,5,2,3,2,1,1,3,1,2,3,2,1,2,1,1,1.5,1.25,1.75,2.75,3.25,2.25,1.75,2.25,1.25,1,1,1,1.5,1.25,1.75,0.88,0.75,1,0.63,0.5,0.75,8,6,5,2,1,0,4,3,3,2,1,0,4,3,2,0,0,0,0,2,3,6,7,8,0,1,1,2,3,4,0,1,2,4,4,4,100,75,63,25,13,0,100,75,75,50,25,0,100,75,50,0,0,0,0,25,37,75,87,100,0,25,25,50,75,100,0,25,50,100,100,100,6,5,1,3,2,0,3,3,1,75,63,13,75,50,0,75,75,25,50,50,50,0,38,25,50,25,50,0,38,25,50,50,50,50,5,2,3,63,50,75,4,2,2,50,50,50,1,1,0,13,25,0,38,25,50,38,50,25,25,25,25,6.50,7.50,5.50,3,2.75,3.25,100,88,75,75,63,38,25,25,1.49,1.58,1.40,1.29,1.18,1.41,63,1,3,1,0,3,2,2,0,2,0,1,1,2,1,1,0,1,1,13,25,0,38,25,50,25
Armenia National Team,Armenia,2024,Armenia,8,4,4,0,2,1,1,2,1,1,4,2,2,1,1,1,4,0,0,40,9,11,-2,20,9,11,4,5,5,6,-1,-1,80,90,72,65,72,60,0,0,0,5,3,2,3,1,2,4,3,1,33,17,16,17,7,10,46,48,43,75,41,34,35,18,17,40,23,17,83,47,36,5,3,2,6,3,3,-1,0,-1,2,1,1,3,2,1,3,1,2,1.13,1.25,1,2.5,2.25,2.75,1.13,1,1.25,1.38,1.25,1.5,1.38,1.5,1.25,0.63,0.75,0.5,0.75,0.75,0.75,8,6,3,1,1,1,4,3,2,0,0,0,4,3,1,1,1,1,0,2,5,7,7,7,0,1,2,4,4,4,0,1,3,3,3,3,100,75,38,13,13,13,100,75,50,0,0,0,100,75,25,25,25,25,0,25,62,87,87,87,0,25,50,100,100,100,0,25,75,75,75,75,7,3,1,4,2,0,3,1,1,88,38,13,100,50,0,75,25,25,25,25,25,-2,0,0,0,63,75,50,38,25,50,50,75,25,2,1,1,25,25,25,4,1,3,50,25,75,3,2,1,38,50,25,25,25,25,38,50,25,38,25,50,4.13,4.25,4.00,2.13,1.75,2.50,63,63,50,50,50,38,38,13,1.22,1.31,1.14,1.76,1.39,2.12,38,2,1,1,1,1,0,1,1,1,1,1,0,2,2,0,3,1,1,25,25,25,50,50,50,0
Hungary National Team,Hungary,2024,Hungary,8,4,4,0,5,4,1,3,0,3,0,0,0,2.25,3,1.5,1,0,0,12,16,7,9,23,12,11,10,6,2,5,8,1,45,36,60,102,180,72,3,2,1,5,2,3,1,0,1,4,3,1,42,21,21,19,10,9,58,56,61,99,56,43,54,33,21,45,23,22,99,41,58,9,6,3,6,2,4,3,4,-1,4,3,1,2,0,2,2,1,1,1.75,2.25,1.25,2.88,3,2.75,2,2.5,1.5,0.88,0.5,1.25,1.88,2,1.75,1.13,1.5,0.75,0.75,0.5,1,7,7,6,3,0,0,4,4,3,1,0,0,3,3,3,2,0,0,1,1,2,5,8,8,0,0,1,3,4,4,1,1,1,2,4,4,88,88,75,38,0,0,100,100,75,25,0,0,75,75,75,50,0,0,12,12,25,62,100,100,0,0,25,75,100,100,25,25,25,50,100,100,7,5,3,4,2,2,3,3,1,88,63,38,100,50,50,75,75,25,63,100,25,34,38,50,25,63,50,75,13,0,25,50,75,25,3,2,1,38,50,25,3,1,2,38,25,50,3,1,2,38,25,50,50,75,25,25,0,50,25,25,25,5.25,5.25,5.25,2.38,2.5,2.25,75,75,63,63,25,13,13,0,1.67,1.87,1.46,1.19,1.20,1.18,50,2,1,1,5,0,0,3,0,4,1,1,1,3,0,0,0,1,0,38,0,75,0,0,0,0
Cyprus National Team,Cyprus,2024,Cyprus,8,4,4,0,0,0,0,0,0,0,8,4,4,0,0,0,5,0,0,49,3,28,-25,31,14,17,2,1,12,16,-10,-15,237,180,360,26,30,23,0,0,0,3,2,1,5,2,3,0,0,0,15,7,8,18,11,7,34,35,33,49,22,27,29,14,15,20,8,12,70,31,39,1,1,0,12,8,4,-11,-7,-4,0,0,0,2,1,1,6,3,3,0.25,0.25,0.25,3.88,3.5,4.25,0.38,0.5,0.25,3.5,3,4,1.63,2.25,1,0.13,0.25,0,1.5,2,1,8,8,8,5,1,1,4,4,4,2,0,0,4,4,4,3,1,1,0,0,0,3,7,7,0,0,0,2,4,4,0,0,0,1,3,3,100,100,100,63,13,13,100,100,100,50,0,0,100,100,100,75,25,25,0,0,0,37,87,87,0,0,0,50,100,100,0,0,0,25,75,75,7,4,2,4,3,2,3,1,0,88,50,25,100,75,50,75,25,0,0,0,0,23,0,0,0,38,50,25,63,50,75,0,0,0,1,0,1,13,0,25,7,3,4,88,75,100,1,1,0,13,25,0,0,0,0,25,25,25,75,75,75,1.88,1.75,2.00,2.25,2.75,1.75,75,63,25,25,25,25,13,13,0.70,0.68,0.72,1.94,1.80,2.08,150,0,0,0,1,0,0,0,1,1,2,3,4,3,1,3,2,3,7,0,0,0,100,100,100,0
Israel National Team,Israel,2024,Israel,10,5,5,0,4,2,2,3,2,1,3,1,2,1.5,1.6,1.4,3,0,0,22,11,11,0,22,11,11,6,5,5,6,1,-1,82,75,90,82,90,75,2,1,1,6,4,2,2,0,2,4,3,1,54,27,27,23,14,9,63,64,62,124,63,61,57,28,29,67,35,32,87,42,45,3,2,1,7,3,4,-4,-1,-3,2,1,1,2,2,0,6,2,4,0.8,1,0.6,2.2,2.2,2.2,1.1,1.2,1,1.1,1,1.2,1,1,1,0.3,0.4,0.2,0.7,0.6,0.8,10,8,4,0,0,0,5,4,2,0,0,0,5,4,2,0,0,0,0,2,6,10,10,10,0,1,3,5,5,5,0,1,3,5,5,5,100,80,40,0,0,0,100,80,40,0,0,0,100,80,40,0,0,0,0,20,60,100,100,100,0,20,60,100,100,100,0,20,60,100,100,100,9,1,0,4,1,0,5,0,0,90,10,0,80,20,0,100,0,0,40,40,40,9,20,20,20,60,80,40,20,0,40,40,60,20,3,2,1,30,40,20,7,3,4,70,60,80,1,1,0,10,20,0,20,20,20,20,40,0,60,40,80,5.40,5.40,5.40,2.3,2.8,1.80,60,40,40,30,20,20,20,20,1.68,1.72,1.64,1.31,1.34,1.28,70,1,0,1,0,1,2,1,0,5,1,1,1,3,2,2,1,0,0,30,40,20,30,20,40,20
Italy National Team,Italy,2024,Italy,8,4,4,0,4,3,1,2,0,2,2,1,1,1.75,2.25,1.25,2,0,0,24,16,9,7,25,17,8,12,4,5,4,7,0,45,30,90,80,72,90,3,1,2,5,3,2,1,0,1,6,3,3,54,32,22,14,5,9,63,64,62,97,53,44,44,25,19,53,28,25,93,45,48,10,7,3,4,3,1,6,4,2,4,3,1,3,0,3,1,1,0,1.88,2.25,1.5,3.13,4.25,2,2,3,1,1.13,1.25,1,1.75,2.5,1,1.25,1.75,0.75,0.5,0.75,0.25,7,7,5,3,1,1,4,4,4,2,1,1,3,3,1,1,0,0,1,1,3,5,7,7,0,0,0,2,3,3,1,1,3,3,4,4,88,88,63,38,13,13,100,100,100,50,25,25,75,75,25,25,0,0,12,12,37,62,87,87,0,0,0,50,75,75,25,25,75,75,100,100,6,6,2,4,4,2,2,2,0,75,75,25,100,100,50,50,50,0,50,75,25,20,38,25,50,63,75,50,13,0,25,75,75,75,5,2,3,63,50,75,3,1,2,38,25,50,2,1,1,25,25,25,50,75,25,38,0,75,13,25,0,6.75,8.00,5.50,1.75,1.25,2.25,75,75,63,50,38,25,25,0,1.66,1.86,1.45,0.85,0.67,1.02,63,0,4,3,0,4,1,1,0,3,0,1,0,1,2,2,0,2,1,25,0,50,25,25,25,0
Albania National Team,Albania,2024,Albania,8,4,4,0,4,3,1,3,1,2,1,0,1,1.88,2.5,1.25,1,0,0,21,12,4,8,16,7,9,7,5,0,4,7,1,60,51,72,180,0,90,4,4,0,3,0,3,2,1,1,5,3,2,21,9,12,16,10,6,50,54,47,72,35,37,39,21,18,33,14,19,84,38,46,4,2,2,2,0,2,2,2,0,3,2,1,4,2,2,1,0,1,1.63,2,1.25,2,1.75,2.25,1.5,1.75,1.25,0.5,0,1,0.75,0.5,1,0.5,0.5,0.5,0.25,0,0.5,7,6,2,1,0,0,3,3,1,0,0,0,4,3,1,1,0,0,1,2,6,7,8,8,1,1,3,4,4,4,0,1,3,3,4,4,88,75,25,13,0,0,75,75,25,0,0,0,100,75,25,25,0,0,12,25,75,87,100,100,25,25,75,100,100,100,0,25,75,75,100,100,5,1,0,2,0,0,3,1,0,63,13,0,50,0,0,75,25,0,50,75,25,59,50,100,0,38,0,75,25,25,25,63,75,50,6,4,2,75,100,50,4,2,2,50,50,50,1,0,1,13,0,25,38,50,25,50,50,50,13,0,25,2.63,2.25,3.00,2,2.5,1.50,38,25,25,13,13,0,0,0,1.13,1.12,1.13,1.25,1.13,1.36,25,1,1,1,1,0,3,2,2,1,0,0,0,0,2,1,0,0,1,38,25,50,13,0,25,0
Belgium National Team,Belgium,2024,Belgium,8,4,4,0,6,2,4,2,2,0,0,0,0,2.5,2,3,1,0,0,9,22,4,18,26,14,12,12,10,2,2,10,8,33,30,36,180,180,180,5,2,3,3,2,1,0,0,0,6,2,4,61,31,30,13,4,9,59,64,55,95,52,43,52,27,25,43,25,18,69,32,37,12,7,5,2,2,0,10,5,5,6,2,4,1,1,0,1,1,0,2.38,1.75,3,3.25,3.5,3,2.75,3,2.5,0.5,0.5,0.5,1.75,2.25,1.25,1.5,1.75,1.25,0.25,0.5,0,8,7,5,3,3,0,4,4,2,2,2,0,4,3,3,1,1,0,0,1,3,5,5,8,0,0,2,2,2,4,0,1,1,3,3,4,100,88,63,38,38,0,100,100,50,50,50,0,100,75,75,25,25,0,0,12,37,62,62,100,0,0,50,50,50,100,0,25,25,75,75,100,8,4,1,4,3,1,4,1,0,100,50,13,100,75,25,100,25,0,75,50,100,0,63,50,75,38,50,25,0,0,0,75,50,100,6,2,4,75,50,100,1,1,0,13,25,0,1,1,0,13,25,0,75,50,100,13,25,0,13,25,0,7.63,7.75,7.50,1.63,1,2.25,88,88,88,38,38,38,38,38,1.73,2.09,1.45,0.88,0.42,1.23,113,1,3,2,6,1,4,1,0,4,0,1,1,0,0,0,0,1,1,25,50,0,0,0,0,13
Bulgaria National Team,Bulgaria,2024,Bulgaria,8,4,4,0,0,0,0,4,2,2,4,2,2,0.5,0.5,0.5,5,0,0,44,7,14,-7,21,9,12,3,4,6,8,-3,-4,102,120,90,51,60,45,0,0,0,5,2,3,3,2,1,1,1,0,39,7,32,16,13,3,48,45,52,73,30,43,39,15,24,34,15,19,96,50,46,2,1,1,8,2,6,-6,-1,-5,0,0,0,4,3,1,4,1,3,0.5,0.75,0.25,2.63,2.25,3,0.88,0.75,1,1.75,1.5,2,1.25,0.75,1.75,0.25,0.25,0.25,1,0.5,1.5,8,7,4,2,0,0,4,3,1,1,0,0,4,4,3,1,0,0,0,1,4,6,8,8,0,1,3,3,4,4,0,0,1,3,4,4,100,88,50,25,0,0,100,75,25,25,0,0,100,100,75,25,0,0,0,12,50,75,100,100,0,25,75,75,100,100,0,0,25,75,100,100,6,3,1,2,1,0,4,2,1,75,38,13,50,25,0,100,50,25,0,0,0,-1,0,0,0,63,50,75,38,50,25,13,25,0,2,2,0,25,50,0,6,3,3,75,75,75,2,1,1,25,25,25,0,0,0,50,75,25,50,25,75,4.88,1.75,8.00,2,3.25,0.75,88,63,38,38,25,25,25,25,1.21,0.98,1.44,1.49,1.52,1.47,50,0,0,2,0,1,1,1,2,0,2,2,1,1,2,1,1,0,4,50,50,50,50,50,50,13
Kosovo National Team,Kosovo,2024,Kosovo,10,5,5,0,2,1,1,5,3,2,3,1,2,1.1,1.2,1,5,0,0,32,10,10,0,20,8,12,4,6,4,6,0,0,90,113,75,90,113,75,3,2,1,5,2,3,3,2,1,4,2,2,38,24,14,30,16,14,49,54,44,102,54,48,58,30,28,44,24,20,111,59,52,3,1,2,2,2,0,1,-1,2,3,1,2,5,2,3,2,2,0,1.4,1,1.8,2,1.6,2.4,1,0.8,1.2,1,0.8,1.2,0.5,0.6,0.4,0.3,0.2,0.4,0.2,0.4,0,9,7,3,1,0,0,4,2,1,1,0,0,5,5,2,0,0,0,1,3,7,9,10,10,1,3,4,4,5,5,0,0,3,5,5,5,90,70,30,10,0,0,80,40,20,20,0,0,100,100,40,0,0,0,10,30,70,90,100,100,20,60,80,80,100,100,0,0,60,100,100,100,5,0,0,3,0,0,2,0,0,50,0,0,60,0,0,40,0,0,20,20,20,0,30,40,20,50,40,60,30,40,20,40,40,40,8,3,5,80,60,100,7,4,3,70,80,60,0,0,0,0,0,0,30,20,40,50,40,60,20,40,0,3.80,4.80,2.80,3,3.2,2.80,70,50,40,30,30,20,10,10,1.43,1.59,1.27,1.32,1.10,1.54,40,0,0,1,1,1,1,1,1,4,0,1,0,0,2,1,1,3,2,50,60,40,30,20,40,0
Estonia National Team,Estonia,2024,Estonia,8,4,4,0,0,0,0,1,0,1,7,4,3,0.13,0,0.25,5,0,0,48,2,22,-20,24,12,12,0,2,12,10,-12,-8,360,0,180,33,30,36,0,0,0,2,0,2,6,4,2,2,0,2,20,11,9,15,7,8,36,37,35,55,30,25,19,8,11,36,22,14,82,44,38,2,0,2,12,9,3,-10,-9,-1,2,0,2,0,0,0,6,4,2,0.75,0,1.5,3,3,3,0.25,0,0.5,2.75,3,2.5,1.75,2.25,1.25,0.25,0,0.5,1.5,2.25,0.75,8,8,4,2,2,0,4,4,2,1,1,0,4,4,2,1,1,0,0,0,4,6,6,8,0,0,2,3,3,4,0,0,2,3,3,4,100,100,50,25,25,0,100,100,50,25,25,0,100,100,50,25,25,0,0,0,50,75,75,100,0,0,50,75,75,100,0,0,50,75,75,100,8,5,1,4,4,1,4,1,0,100,63,13,100,100,25,100,25,0,0,0,0,-55,0,0,0,25,0,50,75,100,50,25,0,50,2,0,2,25,0,50,6,4,2,75,100,50,0,0,0,0,0,0,25,0,50,0,0,0,75,100,50,2.50,2.75,2.25,1.88,1.75,2.00,75,75,50,25,0,0,0,0,0.73,0.76,0.71,1.75,1.60,1.91,63,0,0,2,0,0,0,0,0,0,2,2,3,4,1,3,2,1,4,13,0,25,88,100,75,0
Azerbaijan National Team,Azerbaijan,2024,Azerbaijan,8,4,4,0,2,1,1,1,1,0,5,2,3,0.88,1,0.75,4,0,0,41,7,17,-10,24,7,17,4,3,3,14,1,-11,102,90,120,42,120,26,2,1,1,2,1,1,4,2,2,2,1,1,27,13,14,25,12,13,47,50,45,49,31,18,24,13,11,25,18,7,94,48,46,4,2,2,9,2,7,-5,0,-5,2,1,1,1,1,0,5,2,3,0.88,1,0.75,3,1.75,4.25,0.88,1,0.75,2.13,0.75,3.5,1.63,1,2.25,0.5,0.5,0.5,1.13,0.5,1.75,8,6,4,3,3,0,4,2,1,0,0,0,4,4,3,3,3,0,0,2,4,5,5,8,0,2,3,4,4,4,0,0,1,1,1,4,100,75,50,38,38,0,100,50,25,0,0,0,100,100,75,75,75,0,0,25,50,62,62,100,0,50,75,100,100,100,0,0,25,25,25,100,7,4,1,3,1,0,4,3,1,88,50,13,75,25,0,100,75,25,25,25,25,40,25,25,25,25,25,25,50,50,50,25,25,25,3,2,1,38,50,25,6,3,3,75,75,75,0,0,0,0,0,0,25,25,25,13,25,0,63,50,75,3.38,3.25,3.50,3.13,3,3.25,100,100,88,63,50,50,38,13,0.75,0.93,0.58,1.88,1.69,2.07,113,3,0,0,0,1,0,2,0,1,0,1,5,3,2,0,2,1,3,13,25,0,63,50,75,13
Wales National Team,Wales,2024,Wales,8,4,4,0,3,2,1,3,1,2,2,1,1,1.5,1.75,1.25,3,0,0,27,10,10,0,20,12,8,6,4,6,4,0,0,72,60,90,72,60,90,2,1,1,5,3,2,1,0,1,5,4,1,32,17,15,18,9,9,45,49,40,85,44,41,42,23,19,43,21,22,74,36,38,5,3,2,4,2,2,1,1,0,3,2,1,3,1,2,2,1,1,1.5,1.75,1.25,2.5,3,2,1.25,1.5,1,1.25,1.5,1,1.13,1.25,1,0.63,0.75,0.5,0.5,0.5,0.5,8,7,2,1,1,1,4,3,2,1,1,1,4,4,0,0,0,0,0,1,6,7,7,7,0,1,2,3,3,3,0,0,4,4,4,4,100,88,25,13,13,13,100,75,50,25,25,25,100,100,0,0,0,0,0,12,75,87,87,87,0,25,50,75,75,75,0,0,100,100,100,100,6,2,1,3,1,1,3,1,0,75,25,13,75,25,25,75,25,0,38,50,25,0,25,25,25,63,75,50,13,0,25,63,100,25,5,3,2,63,75,50,3,1,2,38,25,50,2,1,1,25,25,25,38,50,25,38,25,50,25,25,25,4.00,4.25,3.75,2.25,2.25,2.25,63,63,38,38,25,13,0,0,1.35,1.47,1.23,1.32,1.12,1.52,38,2,0,1,0,3,1,0,1,2,1,1,2,0,0,0,2,4,0,38,25,50,25,25,25,0
Netherlands National Team,Netherlands,2024,Netherlands,8,4,4,0,6,3,3,0,0,0,2,1,1,2.25,2.25,2.25,2,0,0,11,17,7,10,24,10,14,8,9,2,5,6,4,42,45,40,102,180,72,5,3,2,2,1,1,1,0,1,5,3,2,58,31,27,12,4,8,60,58,62,112,67,45,60,31,29,52,36,16,98,47,51,9,5,4,5,1,4,4,4,0,4,3,1,2,0,2,2,1,1,1.75,2.25,1.25,3,2.5,3.5,2.13,2,2.25,0.88,0.5,1.25,1.75,1.5,2,1.13,1.25,1,0.63,0.25,1,8,6,6,2,1,1,4,3,3,0,0,0,4,3,3,2,1,1,0,2,2,6,7,7,0,1,1,4,4,4,0,1,1,2,3,3,100,75,75,25,13,13,100,75,75,0,0,0,100,75,75,50,25,25,0,25,25,75,87,87,0,25,25,100,100,100,0,25,25,50,75,75,7,4,3,4,1,1,3,3,2,88,50,38,100,25,25,75,75,50,75,75,75,19,63,75,50,25,25,25,13,0,25,63,75,50,5,3,2,63,75,50,3,1,2,38,25,50,1,0,1,13,0,25,50,75,25,25,0,50,25,25,25,7.25,7.75,6.75,1.5,1,2.00,88,88,50,38,25,13,13,13,2.01,2.30,1.72,0.85,0.80,0.90,38,1,3,2,3,2,1,1,0,4,4,0,1,0,0,1,0,0,1,0,0,0,25,25,25,13
